UF;Ano;Mês;Transferência;1º Decêndio;2º Decêndio;3º Decêndio;Total
SE;2021;1;FUNDEB/COUN;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
SE;2021;2;FUNDEB/COUN;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
SE;2021;3;FUNDEB/COUN;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
SE;2021;4;FUNDEB/COUN;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
SE;2021;5;FUNDEB/COUN;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
SE;2021;1;FUNDEB/FPE;R$ 15.497.397,30;R$ 3.617.445,66;R$ 11.812.283,17;R$ 30.927.126,13
SE;2021;2;FUNDEB/FPE;R$ 29.047.848,97;R$ 2.923.761,55;R$ 7.668.206,04;R$ 39.639.816,56
SE;2021;3;FUNDEB/FPE;R$ 13.695.446,82;R$ 3.725.459,21;R$ 9.401.926,29;R$ 26.822.832,32
SE;2021;4;FUNDEB/FPE;R$ 15.735.288,44;R$ 2.914.289,89;R$ 10.167.712,02;R$ 28.817.290,35
SE;2021;5;FUNDEB/FPE;R$ 21.388.738,24;R$ 3.094.026,13;R$ 10.319.287,07;R$ 34.802.051,44
SE;2021;6;FUNDEB/FPE;R$ 16.296.565,39;R$ 5.358.314,93;R$ 8.192.340,38;R$ 29.847.220,70
SE;2021;7;FUNDEB/FPE;R$ 13.566.812,90;R$ 2.671.565,87;R$ 9.567.399,72;R$ 25.805.778,49
SE;2021;8;FUNDEB/FPE;R$ 19.873.162,43;R$ 3.188.088,58;R$ 9.088.674,97;R$ 32.149.925,98
SE;2021;9;FUNDEB/FPE;R$ 13.173.635,11;R$ 3.270.426,53;R$ 8.939.569,07;R$ 25.383.630,71
SE;2021;10;FUNDEB/FPE;R$ 15.882.395,85;R$ 3.175.926,24;R$ 9.261.690,37;R$ 28.320.012,46
SE;2021;11;FUNDEB/FPE;R$ 23.987.642,33;R$ 3.689.670,39;R$ 8.729.676,14;R$ 36.406.988,86
SE;2021;12;FUNDEB/FPE;R$ 18.347.658,53;R$ 7.452.816,85;R$ 12.056.771,65;R$ 37.857.247,03
SE;2021;1;FUNDEB/FPM;R$ 5.837.635,30;R$ 1.360.756,56;R$ 4.452.336,37;R$ 11.650.728,23
SE;2021;2;FUNDEB/FPM;R$ 11.244.353,12;R$ 1.142.286,54;R$ 2.884.511,01;R$ 15.271.150,67
SE;2021;3;FUNDEB/FPM;R$ 5.235.627,26;R$ 1.452.122,77;R$ 3.548.181,10;R$ 10.235.931,13
SE;2021;4;FUNDEB/FPM;R$ 6.037.514,52;R$ 1.096.253,81;R$ 3.863.277,24;R$ 10.997.045,57
SE;2021;5;FUNDEB/FPM;R$ 8.103.550,12;R$ 1.210.552,03;R$ 3.900.757,21;R$ 13.214.859,36
SE;2021;6;FUNDEB/FPM;R$ 6.306.737,91;R$ 2.015.610,73;R$ 3.102.168,97;R$ 11.424.517,61
SE;2021;7;FUNDEB/FPM;R$ 5.290.743,26;R$ 1.004.949,73;R$ 3.666.808,97;R$ 9.962.501,96
SE;2021;8;FUNDEB/FPM;R$ 7.786.555,78;R$ 1.241.315,74;R$ 3.453.020,27;R$ 12.480.891,79
SE;2021;9;FUNDEB/FPM;R$ 5.156.125,67;R$ 1.230.220,03;R$ 3.415.365,33;R$ 9.801.711,03
SE;2021;10;FUNDEB/FPM;R$ 6.189.185,10;R$ 1.194.672,53;R$ 3.538.519,44;R$ 10.922.377,07
SE;2021;11;FUNDEB/FPM;R$ 9.437.432,83;R$ 1.445.477,93;R$ 3.302.271,53;R$ 14.185.182,29
SE;2021;12;FUNDEB/FPM;R$ 7.277.023,88;R$ 2.803.489,27;R$ 4.643.328,38;R$ 14.723.841,53
SE;2021;1;FUNDEB/ICMS;R$ 1.673.498,28;R$ 15.798.683,58;R$ 4.675.010,41;R$ 22.147.192,27
SE;2021;2;FUNDEB/ICMS;R$ 8.429.341,44;R$ 9.835.826,10;R$ 3.815.097,18;R$ 22.080.264,72
SE;2021;3;FUNDEB/ICMS;R$ 7.553.419,14;R$ 9.073.546,73;R$ 9.553.686,84;R$ 26.180.652,71
SE;2021;4;FUNDEB/ICMS;R$ 1.411.831,96;R$ 6.300.908,06;R$ 14.016.075,28;R$ 21.728.815,30
SE;2021;5;FUNDEB/ICMS;R$ 3.200.129,61;R$ 15.776.779,77;R$ 3.624.465,42;R$ 22.601.374,80
SE;2021;6;FUNDEB/ICMS;R$ 7.242.594,03;R$ 11.868.859,18;R$ 9.145.371,08;R$ 28.256.824,29
SE;2021;7;FUNDEB/ICMS;R$ 1.996.595,73;R$ 7.512.940,81;R$ 13.980.013,07;R$ 23.489.549,61
SE;2021;8;FUNDEB/ICMS;R$ 3.314.334,62;R$ 17.674.871,88;R$ 2.853.642,80;R$ 23.842.849,30
SE;2021;9;FUNDEB/ICMS;R$ 8.849.847,77;R$ 7.539.303,69;R$ 13.040.662,63;R$ 29.429.814,09
